2015-05-20 23:51:59 status unpacked apache2-data:all 2.4.10-10
2015-05-20 23:52:00 status half-configured apache2-data:all 2.4.10-10
2015-05-20 23:52:00 status installed apache2-data:all 2.4.10-10
2015-05-20 23:52:00 configure apache2:amd64 2.4.10-10 <aucune>
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:00 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:01 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:02 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:03 status unpacked apache2:amd64 2.4.10-10
